clockTime,deltaTime,absolutePosition,useStiffness
1.125,1.28571428571429,5,0
2.41071428571429,1.71428571428571,-10,0
4.125,1.28571428571429,5,0
5.41071428571429,1.71428571428571,-10,0
7.125,1.28571428571429,5,0
8.41071428571428,1.71428571428571,-10,0
10.125,1.28571428571429,5,0
11.4107142857143,1.71428571428571,-10,0
13.125,1.28571428571429,5,0
14.4107142857143,1.71428571428571,-10,0
16.125,1.28571428571429,5,0
17.4107142857143,1.71428571428571,-10,0
19.125,1.28571428571429,5,0
20.4107142857143,1.71428571428571,-10,0
22.125,1.28571428571429,5,0
23.4107142857143,1.71428571428571,-10,0
25.125,1.28571428571429,5,0
26.4107142857143,1.71428571428571,-10,0
28.125,1.28571428571429,5,0
29.4107142857143,1.71428571428571,-10,0
