clockTime,deltaTime,absolutePosition,useStiffness
0,1.28571428571429,50,0
1.28571428571429,1.71428571428571,-100,0
3,1.28571428571429,50,0
4.28571428571429,1.71428571428571,-100,0
6,1.28571428571429,50,0
7.28571428571429,1.71428571428571,-100,0
9,1.28571428571429,50,0
10.2857142857143,1.71428571428571,-100,0
12,1.28571428571429,50,0
13.2857142857143,1.71428571428571,-100,0
15,1.28571428571429,50,0
16.2857142857143,1.71428571428571,-100,0
18,1.28571428571429,50,0
19.2857142857143,1.71428571428571,-100,0
21,1.28571428571429,50,0
22.2857142857143,1.71428571428571,-100,0
24,1.28571428571429,50,0
25.2857142857143,1.71428571428571,-100,0
27,1.28571428571429,50,0
28.2857142857143,1.71428571428571,-100,0
30,1.28571428571429,50,0
31.2857142857143,1.71428571428571,-100,0
33,1.28571428571429,50,0
34.2857142857143,1.71428571428571,-100,0
36,1.28571428571429,50,0
37.2857142857143,1.71428571428571,-100,0
39,1.28571428571429,50,0
40.2857142857143,1.71428571428571,-100,0
42,1.28571428571429,50,0
43.2857142857143,1.71428571428571,-100,0
45,1.28571428571429,50,0
46.2857142857143,1.71428571428571,-100,0
48,1.28571428571429,50,0
49.2857142857143,1.71428571428571,-100,0
51,1.28571428571429,50,0
52.2857142857143,1.71428571428571,-100,0
54,1.28571428571429,50,0
55.2857142857143,1.71428571428571,-100,0
57,1.28571428571429,50,0
58.2857142857143,1.71428571428571,-100,0
60,1.28571428571429,50,0
61.2857142857143,1.71428571428571,-100,0
63,1.28571428571429,50,0
64.2857142857143,1.71428571428571,-100,0
66,1.28571428571429,50,0
67.2857142857143,1.71428571428571,-100,0
69,1.28571428571429,50,0
70.2857142857143,1.71428571428571,-100,0
72,1.28571428571429,50,0
73.2857142857143,1.71428571428571,-100,0
75,1.28571428571429,50,0
76.2857142857143,1.71428571428571,-100,0
78,1.28571428571429,50,0
79.2857142857143,1.71428571428571,-100,0
81,1.28571428571429,50,0
82.2857142857143,1.71428571428571,-100,0
84,1.28571428571429,50,0
85.2857142857143,1.71428571428571,-100,0
87,1.28571428571429,50,0
88.2857142857143,1.71428571428571,-100,0
90,1.28571428571429,50,0
91.2857142857143,1.71428571428571,-100,0
