clockTime,deltaTime,absolutePosition,useStiffness
2.5,1.5,60,0
4,0.5,0,0
6.5,1.5,60,0
8,0.5,0,0
10.5,1.5,60,0
12,0.5,0,0
14.5,1.5,60,0
16,0.5,0,0
18.5,1.5,60,0
20,0.5,0,0
22.5,1.5,60,0
24,0.5,0,0
26.5,1.5,60,0
28,0.5,0,0
30.5,1.5,60,0
32,0.5,0,0
34.5,1.5,60,0
36,0.5,0,0
38.5,1.5,60,0
40,0.5,0,0
42.5,1.5,60,0
44,0.5,0,0
46.5,1.5,60,0
48,0.5,0,0
50.5,1.5,60,0
52,0.5,0,0
54.5,1.5,60,0
56,0.5,0,0
58.5,1.5,60,0
60,0.5,0,0
62.5,1.5,60,0
64,0.5,0,0
66.5,1.5,60,0
68,0.5,0,0
70.5,1.5,60,0
72,0.5,0,0
74.5,1.5,60,0
76,0.5,0,0
78.5,1.5,60,0
80,0.5,0,0
82.5,1.5,60,0
84,0.5,0,0
86.5,1.5,60,0
88,0.5,0,0
90.5,1.5,60,0
92,0.5,0,0
94.5,1.5,60,0
96,0.5,0,0
98.5,1.5,60,0
100,0.5,0,0
102,2,0,0
