clockTime,deltaTime,absolutePosition,useStiffness
0,1,50,0
1,1,0,0
2.5,1,50,0
3.5,1,0,0
5,1,50,0
6,1,0,0
7.5,1,50,0
8.5,1,0,0
10,1,50,0
11,1,0,0
12.5,1,50,0
13.5,1,0,0
15,1,50,0
16,1,0,0
17.5,1,50,0
18.5,1,0,0
20,1,50,0
21,1,0,0
22.5,1,50,0
23.5,1,0,0
25,1,50,0
26,1,0,0
27.5,1,50,0
28.5,1,0,0
30,1,50,0
31,1,0,0
32.5,1,50,0
33.5,1,0,0
35,1,50,0
36,1,0,0
37.5,1,50,0
38.5,1,0,0
40,1,50,0
41,1,0,0
42.5,1,50,0
43.5,1,0,0
45,1,50,0
46,1,0,0
47.5,1,50,0
48.5,1,0,0
50,1,50,0
51,1,0,0
52.5,1,50,0
53.5,1,0,0
55,1,50,0
56,1,0,0
57.5,1,50,0
58.5,1,0,0
60,1,50,0
61,1,0,0
62.5,1,50,0
63.5,1,0,0
65,1,50,0
66,1,0,0
67.5,1,50,0
68.5,1,0,0
70,1,50,0
71,1,0,0
72.5,1,50,0
73.5,1,0,0
75,1,50,0
76,1,0,0
77.5,1,50,0
78.5,1,0,0
80,1,50,0
81,1,0,0
82.5,1,50,0
83.5,1,0,0
85,1,50,0
86,1,0,0
87.5,1,50,0
88.5,1,0,0
90,1,50,0
91,1,0,0
92.5,1,50,0
93.5,1,0,0
95,1,50,0
96,1,0,0
97.5,1,50,0
98.5,1,0,0
102.5,2.5,0,0
