clockTime,deltaTime,absolutePosition,useStiffness
4,2,60,0
6,2,0,0
8,2,60,0
10,2,0,0
12,2,60,0
14,2,0,0
16,2,60,0
18,2,0,0
20,2,60,0
22,2,0,0
24,2,60,0
26,2,0,0
28,2,60,0
30,2,0,0
32,2,60,0
34,2,0,0
36,2,60,0
38,2,0,0
40,2,60,0
42,2,0,0
44,2,60,0
46,2,0,0
48,2,60,0
50,2,0,0
52,2,60,0
54,2,0,0
56,2,60,0
58,2,0,0
60,2,60,0
62,2,0,0
64,2,60,0
66,2,0,0
68,2,60,0
70,2,0,0
72,2,60,0
74,2,0,0
76,2,60,0
78,2,0,0
80,2,60,0
82,2,0,0
84,2,60,0
86,2,0,0
88,2,60,0
90,2,0,0
92,2,60,0
94,2,0,0
96,2,60,0
98,2,0,0
102,2,0,0
