clockTime,deltaTime,absolutePosition,useStiffness
0,1.5,5,0
1.5,1,-15,0
2.5,1.5,5,0
4,1,-15,0
5,1.5,5,0
6.5,1,-15,0
7.5,1.5,5,0
9,1,-15,0
10,1.5,5,0
11.5,1,-15,0
12.5,1.5,5,0
14,1,-15,0
15,1.5,5,0
16.5,1,-15,0
17.5,1.5,5,0
19,1,-15,0
20,1.5,5,0
21.5,1,-15,0
22.5,1.5,5,0
24,1,-15,0
25,1.5,5,0
26.5,1,-15,0
27.5,1.5,5,0
29,1,-15,0
30,1.5,5,0
31.5,1,-15,0
32.5,1.5,5,0
34,1,-15,0
35,1.5,5,0
36.5,1,-15,0
37.5,1.5,5,0
39,1,-15,0
40,1.5,5,0
41.5,1,-15,0
42.5,1.5,5,0
44,1,-15,0
45,1.5,5,0
46.5,1,-15,0
47.5,1.5,5,0
49,1,-15,0
50,1.5,5,0
51.5,1,-15,0
52.5,1.5,5,0
54,1,-15,0
55,1.5,5,0
56.5,1,-15,0
57.5,1.5,5,0
59,1,-15,0
60,1.5,5,0
61.5,1,-15,0
62.5,1.5,5,0
64,1,-15,0
65,1.5,5,0
66.5,1,-15,0
67.5,1.5,5,0
69,1,-15,0
70,1.5,5,0
71.5,1,-15,0
72.5,1.5,5,0
74,1,-15,0
75,1.5,5,0
76.5,1,-15,0
77.5,1.5,5,0
79,1,-15,0
80,1.5,5,0
81.5,1,-15,0
82.5,1.5,5,0
84,1,-15,0
85,1.5,5,0
86.5,1,-15,0
87.5,1.5,5,0
89,1,-15,0
90,1.5,5,0
91.5,1,-15,0
92.5,1.5,5,0
94,1,-15,0
95,1.5,5,0
96.5,1,-15,0
97.5,1.5,5,0
99,1,-15,0
101.25,1.25,0,0
