clockTime,deltaTime,absolutePosition,useStiffness
0,3,200,0
3,2,-50,0
5,3,200,0
8,2,-50,0
10,3,200,0
13,2,-50,0
15,3,200,0
18,2,-50,0
20,3,200,0
23,2,-50,0
25,3,200,0
28,2,-50,0
30,3,200,0
33,2,-50,0
35,3,200,0
38,2,-50,0
40,3,200,0
43,2,-50,0
45,3,200,0
48,2,-50,0
50,3,200,0
53,2,-50,0
55,3,200,0
58,2,-50,0
60,3,200,0
63,2,-50,0
65,3,200,0
68,2,-50,0
70,3,200,0
73,2,-50,0
75,3,200,0
78,2,-50,0
80,3,200,0
83,2,-50,0
85,3,200,0
88,2,-50,0
90,3,200,0
93,2,-50,0
95,3,200,0
98,2,-50,0
102.5,2.5,0,0
