clockTime,deltaTime,absolutePosition,useStiffness
1.5,1.2,200,0
2.7,1.8,-25,0
4.5,1.2,200,0
5.7,1.8,-25,0
7.5,1.2,200,0
8.7,1.8,-25,0
10.5,1.2,200,0
11.7,1.8,-25,0
13.5,1.2,200,0
14.7,1.8,-25,0
16.5,1.2,200,0
17.7,1.8,-25,0
19.5,1.2,200,0
20.7,1.8,-25,0
22.5,1.2,200,0
23.7,1.8,-25,0
25.5,1.2,200,0
26.7,1.8,-25,0
28.5,1.2,200,0
29.7,1.8,-25,0
31.5,1.2,200,0
32.7,1.8,-25,0
34.5,1.2,200,0
35.7,1.8,-25,0
37.5,1.2,200,0
38.7,1.8,-25,0
40.5,1.2,200,0
41.7,1.8,-25,0
43.5,1.2,200,0
44.7,1.8,-25,0
46.5,1.2,200,0
47.7,1.8,-25,0
49.5,1.2,200,0
50.7,1.8,-25,0
52.5,1.2,200,0
53.7,1.8,-25,0
55.5,1.2,200,0
56.7,1.8,-25,0
58.5,1.2,200,0
59.7,1.8,-25,0
61.5,1.2,200,0
62.7,1.8,-25,0
64.5,1.2,200,0
65.7,1.8,-25,0
67.5,1.2,200,0
68.7,1.8,-25,0
70.5,1.2,200,0
71.7,1.8,-25,0
73.5,1.2,200,0
74.7,1.8,-25,0
76.5,1.2,200,0
77.7,1.8,-25,0
79.5,1.2,200,0
80.7,1.8,-25,0
82.5,1.2,200,0
83.7,1.8,-25,0
85.5,1.2,200,0
86.7,1.8,-25,0
88.5,1.2,200,0
89.7,1.8,-25,0
91.5,1.2,200,0
92.7,1.8,-25,0
94.5,1.2,200,0
95.7,1.8,-25,0
97.5,1.2,200,0
98.7,1.8,-25,0
101.5,1.5,0,0
