clockTime,deltaTime,absolutePosition,useStiffness
2,2,300,0
4,2,0,1
6,2,300,0
8,2,0,1
10,2,300,0
12,2,0,1
14,2,300,0
16,2,0,1
18,2,300,0
20,2,0,1
22,2,300,0
24,2,0,1
26,2,300,0
28,2,0,1
30,2,300,0
32,2,0,1
34,2,300,0
36,2,0,1
38,2,300,0
40,2,0,1
42,2,300,0
44,2,0,1
46,2,300,0
48,2,0,1
50,2,300,0
52,2,0,1
54,2,300,0
56,2,0,1
58,2,300,0
60,2,0,1
62,2,300,0
64,2,0,1
66,2,300,0
68,2,0,1
70,2,300,0
72,2,0,1
74,2,300,0
76,2,0,1
78,2,300,0
80,2,0,1
82,2,300,0
84,2,0,1
86,2,300,0
88,2,0,1
90,2,300,0
92,2,0,1
94,2,300,0
96,2,0,1
98,2,300,0
100,2,0,1
102,2,0,0
