clockTime,deltaTime,absolutePosition,useStiffness
0,3,100,0
3,2,-300,0
5,3,100,0
8,2,-300,0
10,3,100,0
13,2,-300,0
15,3,100,0
18,2,-300,0
20,3,100,0
23,2,-300,0
25,3,100,0
28,2,-300,0
30,3,100,0
33,2,-300,0
35,3,100,0
38,2,-300,0
40,3,100,0
43,2,-300,0
45,3,100,0
48,2,-300,0
50,3,100,0
53,2,-300,0
55,3,100,0
58,2,-300,0
60,3,100,0
63,2,-300,0
65,3,100,0
68,2,-300,0
70,3,100,0
73,2,-300,0
75,3,100,0
78,2,-300,0
80,3,100,0
83,2,-300,0
85,3,100,0
88,2,-300,0
90,3,100,0
93,2,-300,0
95,3,100,0
98,2,-300,0
102.5,2.5,0,0
