clockTime,deltaTime,absolutePosition,useStiffness
1.5,0.6,45,0
2.1,0.6,0,0
3,0.6,50,0
3.6,0.6,5,0
4.5,0.6,55,0
5.1,0.6,10,0
6,0.6,60,0
6.6,0.6,15,0
7.5,0.6,65,0
8.1,0.6,20,0
9,0.6,70,0
9.6,0.6,25,0
10.5,0.6,75,0
11.1,0.6,30,0
12,0.6,80,0
12.6,0.6,35,0
13.5,0.6,85,0
14.1,0.6,40,0
15,0.6,90,0
15.6,0.6,45,0
16.5,0.6,95,0
17.1,0.6,50,0
18,0.6,100,0
18.6,0.6,55,0
19.5,0.6,105,0
20.1,0.6,60,0
21,0.6,110,0
21.6,0.6,65,0
22.5,0.6,115,0
23.1,0.6,70,0
24,0.6,120,0
24.6,0.6,75,0
25.5,0.6,125,0
26.1,0.6,80,0
27,0.6,130,0
27.6,0.6,85,0
28.5,0.6,135,0
29.1,0.6,90,0
