lifter pos, left pedal pos, left slider pos, right pedal pos, right slider pos, lifter current, left pedal current, left slider current, right pedal current, right slider current
0,0,0,0,0,-46,-795,-120,26,-586,
0,0,0,0,0,17,-795,-109,3,-558,
0,0,0,0,0,3,-795,-148,14,-605,
0,0,0,0,0,-46,-806,-148,-25,-579,
0,0,0,0,0,25,-806,-118,20,-592,
0,0,0,0,0,142,-795,-98,-25,-564,
0,0,0,0,0,57,-806,-98,3,-597,
0,0,0,0,0,-15,-784,-99,-36,-558,
0,0,0,0,0,17,-806,-88,43,-582,
0,0,0,0,0,-32,-795,-117,20,-564,
0,0,0,0,0,3,-806,-98,14,-582,
0,0,0,0,0,57,-795,-118,14,-603,
0,0,0,0,0,-60,-806,-109,14,-593,
0,0,0,0,0,31,-795,-109,-19,-613,
0,0,0,0,0,-6,-795,-118,-2,-597,
0,0,0,0,0,-6,-795,-120,-2,-588,
0,0,0,0,0,-68,-806,-117,9,-581,
0,0,0,0,0,25,-795,-91,3,-570,
0,0,0,0,0,-20,-806,-108,-14,-569,
0,0,0,0,0,-60,-795,-120,31,-564,
0,0,0,0,0,-15,-784,-98,14,-576,
0,0,0,0,0,-23,-795,-118,-14,-565,
0,0,0,0,0,-46,-784,-109,26,-577,
0,0,0,0,0,-37,-806,-120,14,-592,
0,0,0,0,0,-15,-795,-109,-8,-602,
0,0,0,0,0,-20,-806,-110,3,-599,
0,0,0,0,0,88,-806,-108,20,-598,
0,0,0,0,0,-15,-795,-109,-19,-586,
0,0,0,0,0,17,-795,-77,3,-604,
0,0,0,0,0,-29,-784,-118,14,-577,
0,0,0,0,0,-6,-795,-108,26,-554,
0,0,0,0,0,-40,-795,-128,9,-602,
0,0,0,0,0,-114,-806,-99,26,-570,
0,0,0,0,0,25,-817,-99,31,-593,
0,0,0,0,0,71,-795,-109,3,-577,
0,0,0,0,0,71,-795,-98,37,-565,
0,0,0,0,0,-20,-795,-109,3,-563,
0,0,0,0,0,119,-795,-118,14,-582,
0,0,0,0,0,88,-795,-108,14,-576,
0,0,0,0,0,-40,-784,-108,14,-599,
0,0,0,0,0,76,-806,-99,-8,-564,
0,0,0,0,0,79,-795,-89,14,-588,
0,0,0,0,0,-6,-795,-138,-8,-573,
0,0,0,0,0,-46,-784,-128,-8,-570,
0,0,0,0,0,-6,-795,-118,3,-564,
0,0,0,0,0,110,-806,-109,-25,-554,
0,0,0,0,0,102,-795,-128,20,-591,
0,0,0,0,0,-9,-795,-129,-2,-587,
0,0,0,0,0,11,-795,-69,-19,-588,
0,0,0,0,0,107,-795,-88,-2,-558,
0,0,0,0,0,-51,-784,-89,3,-564,
0,0,0,0,0,48,-817,-118,-31,-591,
0,0,0,0,0,-68,-795,-148,-19,-543,
0,0,0,0,0,110,-806,-108,-8,-537,
0,0,0,0,0,-37,-784,-100,9,-570,
0,0,0,0,0,48,-806,-99,-8,-570,
0,0,0,0,0,-134,-784,-149,-14,-605,
0,0,0,0,0,-54,-795,-128,14,-577,
0,0,0,0,0,57,-806,-138,-19,-564,
0,0,0,0,0,62,-795,-129,20,-605,
0,0,0,0,0,3,-784,-118,-14,-573,
0,0,0,0,0,-37,-784,-120,-2,-581,
0,0,0,0,0,-6,-806,-109,-42,-564,
0,0,0,0,0,-6,-795,-79,9,-549,
0,0,0,0,0,-29,-795,-97,-8,-576,
0,0,0,0,0,-15,-806,-108,3,-579,
0,0,0,0,0,-77,-795,-97,26,-568,
0,0,0,0,0,-46,-806,-119,3,-587,
0,0,0,0,0,17,-784,-118,9,-559,
0,0,0,0,0,-82,-795,-120,-8,-569,
