lifter pos (mm), left pedal pos (mm), left slider pos (mm), right pedal pos (mm), right slider pos (mm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,0,0,0,0,0.003,-0.806,-0.079,-0.031,-0.559,
0,0,0,0,0,-0.023,-0.795,-0.118,-0.008,-0.587,
0,0,0,0,0,-0.029,-0.784,-0.127,0.014,-0.587,
0,0,0,0,0,-0.006,-0.784,-0.138,0.003,-0.546,
0,0,0,0,0,0.093,-0.806,-0.127,-0.014,-0.564,
0,0,0,0,0,-0.037,-0.806,-0.136,0.026,-0.581,
0,0,0,0,0,-0.046,-0.806,-0.127,0.043,-0.579,
0,0,0,0,0,-0.06,-0.795,-0.137,0.003,-0.574,
0,0,0,0,0,0.025,-0.806,-0.129,0.031,-0.581,
0,0,0,0,0,-0.006,-0.806,-0.108,-0.014,-0.552,
0,0,0,0,0,-0.037,-0.795,-0.12,-0.002,-0.56,
0,0,0,0,0,0.043,-0.795,-0.098,0.026,-0.558,
0,0,0,0,0,-0.029,-0.795,-0.128,-0.002,-0.577,
0,0,0,0,0,0.079,-0.795,-0.108,-0.008,-0.598,
0,0,0,0,0,0.017,-0.795,-0.108,-0.002,-0.577,
0,0,0,0,0,-0.023,-0.806,-0.128,-0.002,-0.582,
0,0,0,0,0,-0.006,-0.806,-0.147,0.031,-0.577,
0,0,0,0,0,-0.023,-0.795,-0.128,-0.008,-0.577,
0,0,0,0,0,-0.046,-0.795,-0.099,-0.019,-0.588,
0,0,0,0,0,0.025,-0.774,-0.12,0.003,-0.583,
0,0,0,0,0,-0.015,-0.784,-0.109,-0.053,-0.582,
0,0,0,0,0,-0.046,-0.795,-0.1,-0.002,-0.558,
0,0,0,0,0,0.11,-0.806,-0.138,-0.014,-0.57,
0,0,0,0,0,-0.068,-0.806,-0.14,-0.019,-0.554,
0,0,0,0,0,0.084,-0.806,-0.119,0.031,-0.592,
0,0,0,0,0,0.079,-0.795,-0.145,0.009,-0.565,
0,0,0,0,0,-0.037,-0.795,-0.099,-0.008,-0.531,
0,0,0,0,0,0.142,-0.795,-0.108,-0.002,-0.57,
0,0,0,0,0,-0.068,-0.806,-0.09,0.009,-0.586,
0,0,0,0,0,-0.046,-0.806,-0.148,0.003,-0.537,
0,0,0,0,0,-0.015,-0.784,-0.109,0.031,-0.593,
0,0,0,0,0,-0.037,-0.795,-0.13,0.02,-0.592,
0,0,0,0,0,-0.037,-0.784,-0.129,-0.002,-0.593,
0,0,0,0,0,0.093,-0.784,-0.098,0.003,-0.604,
0,0,0,0,0,-0.006,-0.806,-0.1,-0.036,-0.599,
0,0,0,0,0,0.079,-0.795,-0.119,0.037,-0.604,
0,0,0,0,0,0.008,-0.806,-0.097,-0.025,-0.578,
0,0,0,0,0,-0.068,-0.784,-0.098,-0.014,-0.577,
0,0,0,0,0,-0.06,-0.795,-0.128,-0.014,-0.582,
0,0,0,0,0,0.057,-0.784,-0.137,-0.025,-0.582,
0,0,0,0,0,0.062,-0.795,-0.099,0.037,-0.558,
0,0,0,0,0,-0.06,-0.795,-0.118,-0.002,-0.547,
0,0,0,0,0,0.008,-0.784,-0.118,0.026,-0.549,
0,0,0,0,0,0.119,-0.806,-0.107,-0.008,-0.558,
0,0,0,0,0,0.062,-0.806,-0.139,0.014,-0.569,
0,0,0,0,0,0.088,-0.806,-0.089,0.014,-0.581,
0,0,0,0,0,0.071,-0.795,-0.099,-0.019,-0.581,
0,0,0,0,0,-0.037,-0.806,-0.129,0.014,-0.576,
0,0,0,0,0,0.093,-0.806,-0.119,-0.002,-0.543,
0,0,0,0,0,0.025,-0.784,-0.125,-0.031,-0.564,
0,0,0,0,0,0.039,-0.784,-0.099,0.014,-0.598,
0,0,0,0,0,0.025,-0.795,-0.091,0.003,-0.558,
0,0,0,0,0,-0.051,-0.817,-0.088,-0.019,-0.57,
0,0,0,0,0,-0.037,-0.806,-0.117,0.014,-0.582,
0,0,0,0,0,0.025,-0.795,-0.129,0.009,-0.565,
0,0,0,0,0,0.034,-0.795,-0.108,0.009,-0.582,
0,0,0,0,0,-0.015,-0.795,-0.12,-0.002,-0.57,
0,0,0,0,0,-0.051,-0.795,-0.099,-0.008,-0.591,
0,0,0,0,0,-0.06,-0.795,-0.11,-0.008,-0.576,
0,0,0,0,0,-0.029,-0.806,-0.108,-0.019,-0.564,
0,0,0,0,0,0.057,-0.795,-0.108,0.031,-0.594,
0,0,0,0,0,0.017,-0.784,-0.119,-0.019,-0.583,
0,0,0,0,0,-0.006,-0.795,-0.138,0.009,-0.619,
0,0,0,0,0,-0.006,-0.806,-0.13,-0.025,-0.586,
0,0,0,0,0,-0.054,-0.806,-0.099,-0.002,-0.576,
0,0,0,0,0,-0.037,-0.795,-0.098,0.014,-0.559,
0,0,0,0,0,-0.006,-0.806,-0.13,0.009,-0.581,
0,0,0,0,0,0.102,-0.795,-0.109,-0.008,-0.586,
0,0,0,0,0,0.008,-0.817,-0.14,-0.008,-0.576,
0,0,0,0,0,-0.06,-0.806,-0.118,0.003,-0.564,
0,0,0,0,0,-0.006,-0.795,-0.099,-0.031,-0.588,
0,0,0,0,0,0.008,-0.795,-0.109,-0.008,-0.602,
0,0,0,0,0,0.093,-0.795,-0.108,0.02,-0.594,
0,0,0,0,0,-0.02,-0.795,-0.109,-0.019,-0.554,
0,0,0,0,0,-0.02,-0.806,-0.109,0.026,-0.598,
0,0,0,0,0,-0.006,-0.795,-0.148,0.014,-0.559,
0,0,0,0,0,-0.009,-0.806,-0.139,-0.002,-0.554,
0,0,0,0,0,0.031,-0.806,-0.128,0.009,-0.568,
0,0,0,0,0,0.003,-0.795,-0.098,-0.019,-0.553,
0,0,0,0,0,0.031,-0.784,-0.119,0.014,-0.588,
0,0,0,0,0,0.017,-0.806,-0.119,-0.031,-0.57,
0,0,0,0,0,0.079,-0.784,-0.099,0.014,-0.609,
0,0,0,0,0,0.017,-0.806,-0.109,0.003,-0.569,
0,0,0,0,0,-0.023,-0.795,-0.118,0.014,-0.57,
0,0,0,0,0,-0.015,-0.784,-0.129,0.037,-0.573,
0,0,0,0,0,-0.037,-0.784,-0.14,-0.002,-0.582,
0,0,0,0,0,0.048,-0.806,-0.117,0.014,-0.565,
0,0,0,0,0,-0.006,-0.806,-0.118,-0.014,-0.588,
0,0,0,0,0,-0.1,-0.795,-0.108,-0.014,-0.593,
0,0,0,0,0,-0.06,-0.795,-0.128,0.009,-0.582,
0,0,0,0,0,-0.06,-0.784,-0.107,0.02,-0.591,
0,0,0,0,0,0.017,-0.795,-0.109,-0.019,-0.532,
0,0,0,0,0,-0.046,-0.795,-0.108,0.003,-0.554,
0,0,0,0,0,-0.032,-0.795,-0.119,-0.008,-0.582,
0,0,0,0,0,0.048,-0.795,-0.107,0.003,-0.592,
0,0,0,0,0,-0.037,-0.795,-0.12,0.003,-0.553,
0,0,0,0,0,0.025,-0.806,-0.12,-0.036,-0.565,
0,0,0,0,0,-0.02,-0.784,-0.079,-0.014,-0.554,
0,0,0,0,0,-0.015,-0.795,-0.109,-0.019,-0.548,
0,0,0,0,0,-0.06,-0.806,-0.118,-0.014,-0.577,
0,0,0,0,0,0.031,-0.795,-0.109,0.026,-0.577,
0,0,0,0,0,-0.029,-0.795,-0.128,0.026,-0.563,
0,0,0,0,0,0.025,-0.806,-0.118,-0.002,-0.597,
0,0,0,0,0,-0.029,-0.795,-0.107,0.003,-0.559,
0,0,0,0,0,0.039,-0.806,-0.119,-0.008,-0.586,
0,0,0,0,0,0.053,-0.806,-0.109,-0.002,-0.588,
0,0,0,0,0,0.084,-0.806,-0.089,0.02,-0.605,
0,0,0,0,0,0.053,-0.795,-0.12,-0.002,-0.597,
0,0,0,0,0,-0.032,-0.806,-0.098,-0.002,-0.536,
0,0,0,0,0,0.098,-0.784,-0.089,0.037,-0.608,
0,0,0,0,0,-0.023,-0.795,-0.13,-0.019,-0.567,
0,0,0,0,0,-0.068,-0.795,-0.118,0.037,-0.559,
0,0,0,0,0,-0.006,-0.784,-0.118,0.014,-0.584,
0,0,0,0,0,0.053,-0.784,-0.128,-0.031,-0.61,
0,0,0,0,0,-0.029,-0.795,-0.108,-0.025,-0.547,
0,0,0,0,0,0.008,-0.795,-0.098,0.02,-0.581,
0,0,0,0,0,0.017,-0.784,-0.127,-0.025,-0.603,
0,0,0,0,0,0.031,-0.795,-0.117,0.014,-0.602,
0,0,0,0,0,0.003,-0.784,-0.127,-0.008,-0.577,
0,0,0,0,0,-0.009,-0.784,-0.13,0.003,-0.576,
0,0,0,0,0,0.048,-0.784,-0.099,-0.002,-0.564,
0,0,0,0,0,0.11,-0.795,-0.108,0.003,-0.586,
0,0,0,0,0,0.065,-0.806,-0.099,0.009,-0.548,
0,0,0,0,0,-0.068,-0.795,-0.127,-0.019,-0.592,
0,0,0,0,0,-0.06,-0.806,-0.126,0.043,-0.588,
0,0,0,0,0,0.025,-0.806,-0.099,-0.002,-0.553,
0,0,0,0,0,-0.029,-0.806,-0.12,-0.002,-0.597,
0,0,0,0,0,-0.046,-0.784,-0.09,-0.002,-0.587,
0,0,0,0,0,0.011,-0.795,-0.088,-0.031,-0.565,
0,0,0,0,0,0.022,-0.795,-0.099,-0.008,-0.597,
0,0,0,0,0,0.088,-0.806,-0.09,-0.014,-0.569,
0,0,0,0,0,-0.06,-0.795,-0.119,0.003,-0.584,
0,0,0,0,0,0.079,-0.806,-0.109,0.037,-0.577,
0,0,0,0,0,0.093,-0.806,-0.081,0.003,-0.553,
0,0,0,0,0,0.062,-0.806,-0.16,-0.008,-0.534,
0,0,0,0,0,-0.015,-0.806,-0.137,-0.019,-0.576,
0,0,0,0,0,-0.068,-0.795,-0.118,-0.014,-0.577,
0,0,0,0,0,0.048,-0.795,-0.128,-0.019,-0.589,
0,0,0,0,0,0.031,-0.806,-0.099,-0.031,-0.558,
0,0,0,0,0,-0.046,-0.784,-0.08,-0.002,-0.577,
0,0,0,0,0,-0.077,-0.795,-0.13,0.02,-0.576,
0,0,0,0,0,-0.054,-0.795,-0.097,-0.031,-0.588,
0,0,0,0,0,0.031,-0.806,-0.13,0.009,-0.592,
0,0,0,0,0,-0.037,-0.795,-0.109,0.009,-0.531,
0,0,0,0,0,-0.029,-0.806,-0.118,-0.008,-0.604,
0,0,0,0,0,-0.063,-0.795,-0.108,0.003,-0.588,
0,0,0,0,0,-0.046,-0.784,-0.109,0.009,-0.581,
0,0,0,0,0,-0.037,-0.817,-0.13,-0.019,-0.541,
0,0,0,0,0,0.062,-0.795,-0.118,-0.036,-0.576,
0,0,0,0,0,-0.006,-0.806,-0.109,0.026,-0.57,
0,0,0,0,0,-0.015,-0.817,-0.099,0.026,-0.553,
0,0,0,0,0,-0.001,-0.784,-0.109,-0.036,-0.581,
0,0,0,0,0,-0.006,-0.806,-0.119,-0.002,-0.558,
0,0,0,0,0,-0.068,-0.795,-0.118,-0.019,-0.569,
0,0,0,0,0,0.039,-0.795,-0.118,0.014,-0.578,
0,0,0,0,0,-0.029,-0.795,-0.069,0.009,-0.587,
0,0,0,0,0,0.071,-0.806,-0.117,-0.019,-0.588,
0,0,0,0,0,-0.077,-0.795,-0.079,-0.031,-0.564,
0,0,0,0,0,0.031,-0.806,-0.138,0.003,-0.594,
0,0,0,0,0,0.079,-0.806,-0.117,-0.008,-0.569,
0,0,0,0,0,0.008,-0.795,-0.089,-0.014,-0.577,
0,0,0,0,0,0.003,-0.784,-0.099,-0.014,-0.584,
0,0,0,0,0,-0.015,-0.806,-0.149,-0.025,-0.579,
0,0,0,0,0,0.102,-0.795,-0.109,0.003,-0.559,
0,0,0,0,0,-0.015,-0.795,-0.089,-0.008,-0.548,
0,0,0,0,0,-0.037,-0.784,-0.109,0.003,-0.542,
