count, lifter pos (mm), left pedal pos (mm), left slider pos (mm), right pedal pos (mm), right slider pos (mm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,0.004,0,0,-0.009,0,-0.395,0.004,0.187,0.001,-0.106,
1,0.004,0,0,-0.009,0,-0.395,0.004,0.187,0.001,-0.106,
2,0.004,0,0,-0.009,0,-0.292,0.004,0.199,-0.005,-0.106,
3,0.004,0,0,-0.009,0,-0.292,0.004,0.199,-0.005,-0.078,
4,0.005,0,0,-0.009,0,-0.292,0.004,0.199,-0.005,-0.078,
5,0.005,0,0,-0.009,0,-0.372,0.004,0.193,0.012,-0.078,
6,0.005,0,0,-0.009,0,-0.372,0.004,0.193,0.012,-0.095,
7,0.005,0,0,-0.009,0,-0.372,0.004,0.193,0.012,-0.095,
8,0.005,0,0,-0.009,0,-0.417,0.004,0.154,0.012,-0.095,
9,0.005,0,0,-0.009,0,-0.417,0.004,0.154,-0.005,-0.083,
10,0.005,0,0,-0.009,0,-0.417,0.004,0.154,-0.005,-0.083,
11,0.005,0,0,-0.009,0,-0.474,0.015,0.221,-0.005,-0.083,
12,0.005,0,0,-0.009,0,-0.474,0.015,0.221,-0.005,-0.072,
13,0.005,0,0,-0.009,0,-0.474,0.015,0.221,-0.005,-0.072,
14,0.005,0,0,-0.009,0,-0.554,-0.007,0.171,0.034,-0.111,
15,0.005,0,0,-0.009,0,-0.554,-0.007,0.171,0.034,-0.111,
16,0.005,0,0,-0.009,0,-0.554,-0.007,0.171,0.034,-0.111,
17,0.005,0,0,-0.009,0,-0.509,-0.007,0.227,-0.005,-0.095,
18,0.005,0,0,-0.009,0,-0.509,-0.007,0.227,-0.005,-0.095,
19,0.005,0,0,-0.009,0,-0.531,-0.007,0.227,-0.005,-0.095,
20,0.005,0,0,-0.009,0,-0.531,0.004,0.187,-0.033,-0.156,
21,0.005,0,0,-0.009,0,-0.531,0.004,0.187,-0.033,-0.156,
22,0.005,0,0,-0.009,0,-0.531,0.004,0.187,-0.033,-0.156,
23,0.005,0,0,-0.009,0,-0.577,-0.007,0.199,0.006,-0.156,
24,0.005,0,0,-0.009,0,-0.577,-0.007,0.199,0.006,-0.156,
25,0.005,0,0,-0.009,0,-0.634,-0.007,0.199,0.006,-0.156,
26,0.005,0,0,-0.009,0,-0.634,0.025,0.165,0.034,-0.117,
27,0.006,0,0,-0.009,0,-0.634,0.025,0.165,0.034,-0.117,
28,0.006,0,0,-0.009,0,-0.702,0.025,0.165,0.034,-0.117,
29,0.006,0,0,-0.009,0,-0.702,0.004,0.187,-0.033,-0.106,
30,0.006,0,0,-0.009,0,-0.702,0.004,0.187,-0.033,-0.106,
31,0.006,0,0,-0.009,-0.006,-0.748,0.004,0.187,-0.033,-0.106,
32,0.006,0,0,-0.009,-0.006,-0.748,0.025,0.182,0.023,-0.061,
33,0.006,0,0,-0.009,-0.006,-0.748,0.025,0.182,0.023,-0.061,
34,0.006,0,0,-0.009,-0.006,-0.668,0.025,0.182,0.023,-0.061,
35,0.006,0,0,-0.009,-0.006,-0.668,-0.007,0.193,0.006,-0.196,
36,0.005,0,0,-0.009,-0.006,-0.668,-0.007,0.193,0.006,-0.196,
37,0.005,0,0,-0.009,-0.012,-0.645,-0.007,0.193,0.006,-0.196,
38,0.005,0,0,-0.009,-0.012,-0.645,-0.007,0.193,-0.011,0.007,
39,0.005,0,0,-0.009,-0.012,-0.645,-0.007,0.193,-0.011,0.007,
40,0.005,0,0,-0.009,-0.006,-0.645,-0.007,0.193,-0.011,0.007,
41,0.005,0,0,-0.009,-0.006,-0.691,0.004,0.154,0.023,0.029,
42,0.005,0,0,-0.009,-0.006,-0.691,0.004,0.154,0.023,0.029,
43,0.005,0,0,-0.009,-0.012,-0.714,0.004,0.154,0.023,0.029,
44,0.005,0,0,-0.009,-0.012,-0.714,0.004,0.199,0.018,0.012,
45,0.005,0,0,-0.009,-0.012,-0.714,0.004,0.199,0.018,0.012,
46,0.005,0,0,-0.009,-0.012,-0.748,0.004,0.199,0.018,0.012,
47,0.005,0,0,-0.009,-0.012,-0.748,0.004,0.221,-0.005,-0.01,
48,0.005,0,0,-0.009,-0.012,-0.748,0.004,0.221,-0.005,-0.01,
49,0.005,0,0,-0.009,-0.006,-0.782,-0.007,0.221,-0.005,-0.01,
50,0.005,0,0,-0.009,-0.006,-0.782,-0.007,0.176,-0.005,-0.134,
51,0.004,0,0,-0.009,-0.006,-0.782,-0.007,0.176,-0.005,-0.134,
52,0.004,0,0,-0.009,-0.006,-0.714,-0.007,0.176,-0.005,-0.134,
53,0.004,0,0,-0.009,-0.006,-0.714,-0.007,0.159,0.018,0.035,
