count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,5.32,0,0,0,0,-0.728,0,0,0,0,
1,5.47,0,0,0,0,-0.674,0,0,0,0,
2,5.47,0,0,0,0,-0.674,0,0,0,0,
3,5.62,0,0,0,0,-0.484,0,0,0,0,
4,5.62,0,0,0,0,-0.484,0,0,0,0,
5,5.76,0,0,0,0,-0.847,0,0,0,0,
6,5.76,0,0,0,0,-0.847,0,0,0,0,
7,5.9,0,0,0,0,-0.847,0,0,0,0,
8,5.9,0,0,0,0,-0.654,0,0,0,0,
9,5.9,0,0,0,0,-0.654,0,0,0,0,
10,6.05,0,0,0,0,-0.561,0,0,0,0,
11,6.05,0,0,0,0,-0.561,0,0,0,0,
12,6.21,0,0,0,0,-0.733,0,0,0,0,
13,6.21,0,0,0,0,-0.733,0,0,0,0,
14,6.21,0,0,0,0,-0.733,0,0,0,0,
15,6.35,0,0,0,0,-0.536,0,0,0,0,
16,6.35,0,0,0,0,-0.536,0,0,0,0,
17,6.5,0,0,0,0,-0.858,0,0,0,0,
18,6.5,0,0,0,0,-0.858,0,0,0,0,
19,6.65,0,0,0,0,-0.737,0,0,0,0,
20,6.65,0,0,0,0,-0.737,0,0,0,0,
21,6.79,0,0,0,0,-0.165,0,0,0,0,
22,6.79,0,0,0,0,-0.165,0,0,0,0,
23,6.79,0,0,0,0,-0.165,0,0,0,0,
24,6.92,0,0,0,0,-0.554,0,0,0,0,
25,6.92,0,0,0,0,-0.554,0,0,0,0,
26,7.07,0,0,0,0,-0.474,0,0,0,0,
27,7.07,0,0,0,0,-0.474,0,0,0,0,
28,7.21,0,0,0,0,-0.3,0,0,0,0,
29,7.21,0,0,0,0,-0.3,0,0,0,0,
30,7.36,0,0,0,0,-0.3,0,0,0,0,
31,7.36,0,0,0,0,-0.229,0,0,0,0,
32,7.36,0,0,0,0,-0.229,0,0,0,0,
33,7.51,0,0,0,0,-0.821,0,0,0,0,
34,7.51,0,0,0,0,-0.821,0,0,0,0,
35,7.65,0,0,0,0,-0.433,0,0,0,0,
36,7.65,0,0,0,0,-0.433,0,0,0,0,
