count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,0.17,0,0,0,0,-0.093,0,0,0,0
0.01,0.15,0,0,0,0,-0.093,0,0,0,0
0.02,0.15,0,0,0,0,-0.077,0,0,0,0
0.03,0.15,0,0,0,0,-0.077,0,0,0,0
0.04,0.13,0,0,0,0,-0.113,0,0,0,0
0.05,0.13,0,0,0,0,-0.113,0,0,0,0
0.06,0.1,0,0,0,0,-0.12,0,0,0,0
0.07,0.1,0,0,0,0,-0.12,0,0,0,0
0.08,0.08,0,0,0,0,-0.143,0,0,0,0
0.09,0.08,0,0,0,0,-0.143,0,0,0,0
0.09999999,0.07,0,0,0,0,-0.143,0,0,0,0
0.11,0.07,0,0,0,0,-0.091,0,0,0,0
0.12,0.07,0,0,0,0,-0.091,0,0,0,0
0.13,0.05,0,0,0,0,-0.095,0,0,0,0
0.14,0.05,0,0,0,0,-0.095,0,0,0,0
0.15,0.04,0,0,0,0,-0.107,0,0,0,0
0.16,0.04,0,0,0,0,-0.107,0,0,0,0
0.17,0.03,0,0,0,0,-0.215,0,0,0,0
0.18,0.03,0,0,0,0,-0.215,0,0,0,0
0.19,0.03,0,0,0,0,-0.215,0,0,0,0
0.2,0.02,0,0,0,0,-0.163,0,0,0,0
0.21,0.02,0,0,0,0,-0.163,0,0,0,0
0.22,0.01,0,0,0,0,-0.103,0,0,0,0
0.23,0.01,0,0,0,0,-0.103,0,0,0,0
0.24,0,0,0,0,0,-0.103,0,0,0,0
0.25,0,0,0,0,0,-0.066,0,0,0,0
0.26,0,0,0,0,0,-0.066,0,0,0,0
0.27,0,0,0,0,0,-0.2,0,0,0,0
0.28,0,0,0,0,0,-0.2,0,0,0,0
0.29,0,0,0,0,0,-0.143,0,0,0,0
0.3,0,0,0,0,0,-0.143,0,0,0,0
0.31,0,0,0,0,0,-0.143,0,0,0,0
0.32,0,0,0,0,0,-3.011,0,0,0,0
0.33,0,0,0,0,0,-3.011,0,0,0,0
0.34,0.01,0,0,0,0,-2.857,0,0,0,0
0.35,0.01,0,0,0,0,-2.857,0,0,0,0
0.36,0.04,0,0,0,0,-3.211,0,0,0,0
0.37,0.04,0,0,0,0,-3.211,0,0,0,0
0.38,0.08,0,0,0,0,-3.135,0,0,0,0
0.39,0.08,0,0,0,0,-3.135,0,0,0,0
0.4,0.08,0,0,0,0,-3.135,0,0,0,0
0.41,0.14,0,0,0,0,-3.085,0,0,0,0
0.42,0.14,0,0,0,0,-3.085,0,0,0,0
0.43,0.22,0,0,0,0,-3.234,0,0,0,0
0.44,0.22,0,0,0,0,-3.234,0,0,0,0
0.45,0.32,0,0,0,0,-3.416,0,0,0,0
0.46,0.32,0,0,0,0,-3.416,0,0,0,0
0.47,0.32,0,0,0,0,-3.416,0,0,0,0
0.48,0.43,0,0,0,0,-3.519,0,0,0,0
0.49,0.43,0,0,0,0,-3.519,0,0,0,0
0.5,0.55,0,0,0,0,-1.886,0,0,0,0
0.51,0.55,0,0,0,0,-1.886,0,0,0,0
0.52,0.7,0,0,0,0,-0.993,0,0,0,0
0.53,0.7,0,0,0,0,-0.993,0,0,0,0
0.54,0.85,0,0,0,0,-0.993,0,0,0,0
0.55,0.85,0,0,0,0,-0.554,0,0,0,0
0.56,0.85,0,0,0,0,-0.554,0,0,0,0
0.57,0.99,0,0,0,0,-0.231,0,0,0,0
0.58,0.99,0,0,0,0,-0.231,0,0,0,0
0.59,1.15,0,0,0,0,-0.552,0,0,0,0
0.6,1.15,0,0,0,0,-0.552,0,0,0,0
0.61,1.15,0,0,0,0,-0.552,0,0,0,0
0.62,1.29,0,0,0,0,-0.567,0,0,0,0
0.63,1.29,0,0,0,0,-0.567,0,0,0,0
0.64,1.44,0,0,0,0,-0.575,0,0,0,0
0.65,1.44,0,0,0,0,-0.575,0,0,0,0
0.66,1.59,0,0,0,0,-0.208,0,0,0,0
0.67,1.59,0,0,0,0,-0.208,0,0,0,0
0.68,1.59,0,0,0,0,-0.208,0,0,0,0
0.69,1.73,0,0,0,0,-0.478,0,0,0,0
0.7,1.73,0,0,0,0,-0.478,0,0,0,0
0.71,1.89,0,0,0,0,-0.263,0,0,0,0
0.72,1.89,0,0,0,0,-0.263,0,0,0,0
0.73,2.03,0,0,0,0,-0.263,0,0,0,0
0.74,2.03,0,0,0,0,-0.206,0,0,0,0
0.75,2.03,0,0,0,0,-0.206,0,0,0,0
0.76,2.18,0,0,0,0,-0.301,0,0,0,0
0.77,2.18,0,0,0,0,-0.301,0,0,0,0
0.78,2.32,0,0,0,0,-0.78,0,0,0,0
0.79,2.32,0,0,0,0,-0.78,0,0,0,0
0.8,2.47,0,0,0,0,-0.368,0,0,0,0
0.81,2.47,0,0,0,0,-0.368,0,0,0,0
0.82,2.47,0,0,0,0,-0.368,0,0,0,0
0.83,2.62,0,0,0,0,-0.485,0,0,0,0
0.84,2.62,0,0,0,0,-0.485,0,0,0,0
0.85,2.77,0,0,0,0,-0.121,0,0,0,0
0.86,2.77,0,0,0,0,-0.121,0,0,0,0
0.87,2.91,0,0,0,0,-0.121,0,0,0,0
0.88,2.91,0,0,0,0,-0.37,0,0,0,0
0.89,2.91,0,0,0,0,-0.37,0,0,0,0
0.9,3.08,0,0,0,0,-0.257,0,0,0,0
0.91,3.08,0,0,0,0,-0.257,0,0,0,0
0.92,3.22,0,0,0,0,-0.537,0,0,0,0
0.93,3.22,0,0,0,0,-0.537,0,0,0,0
0.94,3.22,0,0,0,0,-0.537,0,0,0,0
0.95,3.37,0,0,0,0,-0.523,0,0,0,0
0.96,3.37,0,0,0,0,-0.523,0,0,0,0
0.97,3.52,0,0,0,0,-0.45,0,0,0,0
0.98,3.52,0,0,0,0,-0.45,0,0,0,0
0.9899999,3.67,0,0,0,0,-0.08,0,0,0,0
1,3.67,0,0,0,0,-0.08,0,0,0,0
1.01,3.81,0,0,0,0,-0.08,0,0,0,0
1.02,3.81,0,0,0,0,4.609,0,0,0,0
