count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,0.19,0,0,0,0,-3.202,0,0,0,0,
0.01,0.19,0,0,0,0,-3.202,0,0,0,0,
0.02,0.19,0,0,0,0,-3.202,0,0,0,0,
0.03,0.21,0,0,0,0,-3.19,0,0,0,0,
0.04,0.21,0,0,0,0,-3.19,0,0,0,0,
0.05,0.26,0,0,0,0,-3.317,0,0,0,0,
0.06,0.26,0,0,0,0,-3.317,0,0,0,0,
0.07,0.32,0,0,0,0,-3.418,0,0,0,0,
0.08,0.32,0,0,0,0,-3.418,0,0,0,0,
0.09,0.4,0,0,0,0,-3.418,0,0,0,0,
0.09999999,0.4,0,0,0,0,-3.502,0,0,0,0,
0.11,0.4,0,0,0,0,-3.502,0,0,0,0,
0.12,0.5,0,0,0,0,-3.282,0,0,0,0,
0.13,0.5,0,0,0,0,-3.282,0,0,0,0,
0.14,0.62,0,0,0,0,-3.296,0,0,0,0,
0.15,0.62,0,0,0,0,-3.296,0,0,0,0,
0.16,0.75,0,0,0,0,-3.296,0,0,0,0,
0.17,0.75,0,0,0,0,-2.073,0,0,0,0,
0.18,0.75,0,0,0,0,-2.073,0,0,0,0,
0.19,0.89,0,0,0,0,-1.48,0,0,0,0,
0.2,0.89,0,0,0,0,-1.48,0,0,0,0,
0.21,1.03,0,0,0,0,-1.184,0,0,0,0,
0.22,1.03,0,0,0,0,-1.184,0,0,0,0,
0.23,1.18,0,0,0,0,-1.184,0,0,0,0,
0.24,1.18,0,0,0,0,-0.861,0,0,0,0,
0.25,1.18,0,0,0,0,-0.861,0,0,0,0,
0.26,1.32,0,0,0,0,-0.798,0,0,0,0,
0.27,1.32,0,0,0,0,-0.798,0,0,0,0,
0.28,1.47,0,0,0,0,-0.477,0,0,0,0,
0.29,1.47,0,0,0,0,-0.477,0,0,0,0,
0.3,1.62,0,0,0,0,-0.477,0,0,0,0,
0.31,1.62,0,0,0,0,-0.171,0,0,0,0,
0.32,1.62,0,0,0,0,-0.171,0,0,0,0,
0.33,1.77,0,0,0,0,-0.498,0,0,0,0,
0.34,1.77,0,0,0,0,-0.498,0,0,0,0,
0.35,1.93,0,0,0,0,-0.427,0,0,0,0,
0.36,1.93,0,0,0,0,-0.427,0,0,0,0,
0.37,2.07,0,0,0,0,-0.427,0,0,0,0,
0.38,2.07,0,0,0,0,3.277,0,0,0,0,
0.39,2.07,0,0,0,0,3.277,0,0,0,0,
0.4,2.2,0,0,0,0,2.02,0,0,0,0,
0.41,2.2,0,0,0,0,2.02,0,0,0,0,
0.42,2.31,0,0,0,0,1.679,0,0,0,0,
0.43,2.31,0,0,0,0,1.679,0,0,0,0,
0.44,2.41,0,0,0,0,1.679,0,0,0,0,
0.45,2.41,0,0,0,0,0.996,0,0,0,0,
0.46,2.41,0,0,0,0,0.996,0,0,0,0,
0.47,2.51,0,0,0,0,0.878,0,0,0,0,
0.48,2.51,0,0,0,0,0.878,0,0,0,0,
0.49,2.59,0,0,0,0,0.97,0,0,0,0,
0.5,2.59,0,0,0,0,0.97,0,0,0,0,
0.51,2.66,0,0,0,0,1.082,0,0,0,0,
0.52,2.66,0,0,0,0,1.082,0,0,0,0,
0.53,2.73,0,0,0,0,1.082,0,0,0,0,
0.54,2.73,0,0,0,0,0.974,0,0,0,0,
0.55,2.73,0,0,0,0,0.974,0,0,0,0,
0.56,2.79,0,0,0,0,0.937,0,0,0,0,
0.57,2.79,0,0,0,0,0.937,0,0,0,0,
0.58,2.84,0,0,0,0,1.028,0,0,0,0,
0.59,2.84,0,0,0,0,1.028,0,0,0,0,
0.6,2.89,0,0,0,0,1.04,0,0,0,0,
0.61,2.89,0,0,0,0,1.04,0,0,0,0,
0.62,2.92,0,0,0,0,1.04,0,0,0,0,
0.63,2.92,0,0,0,0,1.012,0,0,0,0,
0.64,2.92,0,0,0,0,1.012,0,0,0,0,
0.65,2.95,0,0,0,0,0.96,0,0,0,0,
0.66,2.95,0,0,0,0,0.96,0,0,0,0,
0.67,2.98,0,0,0,0,0.029,0,0,0,0,
0.68,2.98,0,0,0,0,0.029,0,0,0,0,
0.69,2.98,0,0,0,0,0.029,0,0,0,0,
0.7,3,0,0,0,0,0.063,0,0,0,0,
0.71,3,0,0,0,0,0.063,0,0,0,0,
0.72,3.02,0,0,0,0,0.181,0,0,0,0,
0.73,3.02,0,0,0,0,0.181,0,0,0,0,
0.74,3.03,0,0,0,0,0.119,0,0,0,0,
0.75,3.03,0,0,0,0,0.119,0,0,0,0,
0.76,3.03,0,0,0,0,0.119,0,0,0,0,
0.77,3.05,0,0,0,0,0.155,0,0,0,0,
0.78,3.05,0,0,0,0,0.155,0,0,0,0,
0.79,3.06,0,0,0,0,0.133,0,0,0,0,
0.8,3.06,0,0,0,0,0.133,0,0,0,0,
0.81,3.07,0,0,0,0,0.173,0,0,0,0,
0.82,3.07,0,0,0,0,0.173,0,0,0,0,
0.83,3.08,0,0,0,0,0.173,0,0,0,0,
0.84,3.08,0,0,0,0,0.092,0,0,0,0,
0.85,3.08,0,0,0,0,0.092,0,0,0,0,
0.86,3.08,0,0,0,0,0.17,0,0,0,0,
0.87,3.08,0,0,0,0,0.17,0,0,0,0,
0.88,3.09,0,0,0,0,0.215,0,0,0,0,
0.89,3.09,0,0,0,0,0.215,0,0,0,0,
0.9,3.09,0,0,0,0,0.215,0,0,0,0,
0.91,3.09,0,0,0,0,0.107,0,0,0,0,
0.92,3.09,0,0,0,0,0.107,0,0,0,0,
0.93,3.09,0,0,0,0,0.251,0,0,0,0,
0.94,3.09,0,0,0,0,0.251,0,0,0,0,
0.95,3.09,0,0,0,0,0.366,0,0,0,0,
0.96,3.09,0,0,0,0,0.366,0,0,0,0,
0.97,3.09,0,0,0,0,0.366,0,0,0,0,
0.98,3.09,0,0,0,0,0.631,0,0,0,0,
0.9899999,3.09,0,0,0,0,0.631,0,0,0,0,
1,3.08,0,0,0,0,0.512,0,0,0,0,
1.01,3.08,0,0,0,0,0.512,0,0,0,0,
1.02,3.07,0,0,0,0,0.546,0,0,0,0,
1.03,3.07,0,0,0,0,0.546,0,0,0,0,
1.04,3.07,0,0,0,0,0.546,0,0,0,0,
1.05,3.06,0,0,0,0,0.463,0,0,0,0,
1.06,3.06,0,0,0,0,0.463,0,0,0,0,
1.07,3.05,0,0,0,0,0.507,0,0,0,0,
1.08,3.05,0,0,0,0,0.507,0,0,0,0,
1.09,3.04,0,0,0,0,0.602,0,0,0,0,
1.1,3.04,0,0,0,0,0.602,0,0,0,0,
1.11,3.03,0,0,0,0,0.602,0,0,0,0,
1.12,3.03,0,0,0,0,0.545,0,0,0,0,
1.13,3.03,0,0,0,0,0.545,0,0,0,0,
1.14,3.01,0,0,0,0,0.581,0,0,0,0,
1.15,3.01,0,0,0,0,0.581,0,0,0,0,
1.16,2.99,0,0,0,0,0.538,0,0,0,0,
1.17,2.99,0,0,0,0,0.538,0,0,0,0,
1.18,2.99,0,0,0,0,0.538,0,0,0,0,
1.19,2.97,0,0,0,0,0.468,0,0,0,0,
1.2,2.97,0,0,0,0,0.468,0,0,0,0,
1.21,2.95,0,0,0,0,0.55,0,0,0,0,
1.22,2.95,0,0,0,0,0.55,0,0,0,0,
1.23,2.92,0,0,0,0,0.56,0,0,0,0,
1.24,2.92,0,0,0,0,0.56,0,0,0,0,
