time (s), lifter (10cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,0.01,0.171,0.033,-0.024,0.007,-0.028,-0.117,-0.032,0.014
0.01,0,0,0,0,0,0,0,0,0,0.01,0.171,0.033,-0.024,0.007,-0.028,-0.117,-0.032,0.014
0.02,0,0,0,0,0,0,0,0,0,0.01,0.171,0.033,-0.024,0.007,-0.028,-0.117,-0.032,0.014
0.03,0,0,0,0,0,0,0,0,0,0.01,0.171,0.033,-0.024,0.007,-0.028,-0.117,-0.032,0.014
0.04,0,0,0,0,0,0,0,0,0,0.01,0.171,0.033,-0.024,0.007,-0.028,-0.117,-0.032,0.014
0.05,0,0,0,0,0,0,0,0,0,-2.341,0.182,-0.608,0.016,0.007,-0.028,-0.117,-0.032,0.014
0.06,0,0,0,0,0,0,0,0,0,-2.341,0.182,-0.608,0.016,0.018,-0.039,0.02,-0.032,0.014
0.07,0,0,0,0,0,0,0,0,0,-2.341,0.182,-0.608,0.016,0.018,-0.039,0.02,-0.261,-0.26
0.08,0,0,0,0,0,0,0,0,0,-2.341,0.182,-0.608,0.016,0.018,-0.039,0.02,-0.261,-0.26
0.09,0,0,0,0,0,0,0,0,0,-2.341,0.182,-0.608,0.016,0.018,-0.039,0.02,-0.261,-0.26
0.09999999,0,0,0,0,0,0,0,0,0,-2.341,0.182,-0.608,0.016,0.018,-0.039,0.02,-0.261,-0.26
0.11,0,0,0,0,0,0,0,0,0,-2.341,0.182,-0.608,0.016,0.018,-0.039,0.02,-0.261,-0.26
0.12,0,0,0,0,0,0,0,0,0,-2.341,0.182,-0.608,0.016,0.018,-0.039,0.02,-0.261,-0.26
0.13,0,0,0,0,0,0,0,0.01,0,-2.311,0.16,-0.608,0.016,0.018,-0.039,0.02,-0.261,-0.26
0.14,0,0,0,0,0,0,0,0.01,0,-2.311,0.16,-0.687,0.01,0.002,-0.039,0.02,-0.261,-0.26
0.15,0,0,0,0,0,0,0,0.01,0,-2.311,0.16,-0.687,0.01,0.002,0.109,-0.003,-0.332,-0.331
0.16,0,0,0,0,0,0,0,0.01,0,-2.311,0.16,-0.687,0.01,0.002,0.109,-0.003,-0.332,-0.331
0.17,0,0,0,0,0,0,0,0.01,0,-2.311,0.16,-0.687,0.01,0.002,0.109,-0.003,-0.332,-0.331
0.18,0,0,0,0,0,0,0,0.01,0,-2.311,0.16,-0.687,0.01,0.002,0.109,-0.003,-0.332,-0.331
0.19,0.02,0,0,0,0,0,0,0.01,0,-2.311,0.16,-0.687,0.01,0.002,0.109,-0.003,-0.332,-0.331
0.2,0.02,0,0.01,0,0,0,0,0.01,0,-2.311,0.16,-0.687,0.01,0.002,0.109,-0.003,-0.332,-0.331
0.21,0.02,0,0.01,0,0,0,0,0.02,0.01,-2.311,0.16,-0.687,0.01,0.002,0.109,-0.003,-0.332,-0.331
0.22,0.02,0,0.01,0,0,0,0,0.02,0.01,-1.202,0.171,-0.736,0.021,0.002,0.109,-0.003,-0.332,-0.331
0.23,0.02,0,0.01,0,0,0,0,0.02,0.01,-1.202,0.171,-0.736,0.021,0.03,-0.028,-0.048,-0.332,-0.331
