time (s), lifter (10cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,0,-0.01,-0.568,2.994,-0.132,-0.02,0.028,-0.523,0.012,
0.01,0,0,0,0,0,0,0,0,0,0,-0.01,-0.568,2.994,-0.132,-0.02,0.028,-0.523,0.012,
0.02,0,0,0,0,0,0,0,0,0,0.025,0.001,-0.582,2.994,-0.132,-0.02,0.028,-0.523,0.012,
0.03,0,0,0,0,0,0,0,0,0,0.025,0.001,-0.582,3.091,-0.288,0.044,0.028,-0.523,0.012,
0.04,0,0,0,0,0,0,0,0,0,0.025,0.001,-0.582,3.091,-0.288,0.044,-0.083,-0.563,-0.014,
0.05,0,0,0,0,0,0,0,0,0,0.025,0.001,-0.582,3.091,-0.288,0.044,-0.083,-0.563,-0.014,
0.06,0,0,0,0,0,0,0,0,0,0.025,0.001,-0.582,3.091,-0.288,0.044,-0.083,-0.563,-0.014,
0.07,0,0,0,0,0,0,0,0,0,0.025,0.001,-0.582,3.091,-0.288,0.044,-0.083,-0.563,-0.014,
0.08,0,0,0,0,0,0,0,0,0,0.025,0.001,-0.582,3.091,-0.288,0.044,-0.083,-0.563,-0.014,
0.09,0,0,0,0,0,0,0,0,0,0.017,0.001,-0.582,3.091,-0.288,0.044,-0.083,-0.563,-0.014,
0.09999999,0,0,0,0,0,0,0,0,0,0.017,0.001,-0.59,3.133,-0.288,0.044,-0.083,-0.563,-0.014,
0.11,0,0,0,0,0,0,0,0,0,0.017,0.001,-0.59,3.133,-0.402,0.024,-0.032,-0.446,-0.014,
0.12,0,0,0,0,0,0,0,0,0,0.017,0.001,-0.59,3.133,-0.402,0.024,-0.032,-0.446,0.025,
0.13,0,0,0,0,0,0,0,0,0,0.017,0.001,-0.59,3.133,-0.402,0.024,-0.032,-0.446,0.025,
0.14,0,0,0,0,0,0,0,0,0,0.017,0.001,-0.59,3.133,-0.402,0.024,-0.032,-0.446,0.025,
0.15,0,0,0,0,0,0,0,0,0,0.017,0.001,-0.59,3.133,-0.402,0.024,-0.032,-0.446,0.025,
0.16,0,0,0,0,0,0,0,0,0,0.017,0.001,-0.59,3.133,-0.402,0.024,-0.032,-0.446,0.025,
0.17,0,0,0,0,0,0,0,0,0,0.007,0.011,-0.59,3.133,-0.402,0.024,-0.032,-0.446,0.025,
0.18,0,0,0,0,0,0,0,0,0,0.007,0.011,-0.553,3.212,-0.269,0.023,-0.032,-0.446,0.025,
0.19,0,0,0,0,0,0,0,0,0,0.007,0.011,-0.553,3.212,-0.269,0.023,-0.086,-0.581,0.008,
0.2,0,0,0,0,0,0,0,0,0,0.007,0.011,-0.553,3.212,-0.269,0.023,-0.086,-0.581,0.008,
0.21,0,0,0,0,0,0,0,0,0,0.007,0.011,-0.553,3.212,-0.269,0.023,-0.086,-0.581,0.008,
0.22,0,0,0,0,0,0,0,0,0,0.007,0.011,-0.553,3.212,-0.269,0.023,-0.086,-0.581,0.008,
0.23,0,0,0,0,0,0,0,0,0,0.007,0.011,-0.553,3.212,-0.269,0.023,-0.086,-0.581,0.008,
0.24,0,0,0,0,0,0,0,0,0,0.007,0.011,-0.553,3.212,-0.269,0.023,-0.086,-0.581,0.008,
0.25,0,0,0,0,0,0,0,0,0,-0.003,0.001,-0.568,3.212,-0.269,0.023,-0.086,-0.581,0.008,
0.26,0,0,0,0,0,0,0,0,0,-0.003,0.001,-0.568,3.198,-0.236,0.018,-0.016,-0.581,0.008,
0.27,0,0,0,0,0,0,0,0,0,-0.003,0.001,-0.568,3.198,-0.236,0.018,-0.016,-0.464,0.007,
0.28,0,0,0,0,0,0,0,0,0,-0.003,0.001,-0.568,3.198,-0.236,0.018,-0.016,-0.464,0.007,
0.29,0,0,0,0,0,0,0,0,0,-0.003,0.001,-0.568,3.198,-0.236,0.018,-0.016,-0.464,0.007,
0.3,0,0,0,0,0,0,0,0,0,-0.003,0.001,-0.568,3.198,-0.236,0.018,-0.016,-0.464,0.007,
0.31,0,0,0,0,0,0,0,0,0,-0.003,0.001,-0.568,3.198,-0.236,0.018,-0.016,-0.464,0.007,
0.32,0,0,0,0,0,0,0,0,0,0.01,-0.01,-0.555,3.181,-0.236,0.018,-0.016,-0.464,0.007,
